"label","levels","HOMES","OpenGate","Casa Maria","Dia De La Mujer Latina"
"Age Groups","18-29","3 (15.8)","6 (50.0)","1 (5.6)","15 (11.2)"
"","30-49","6 (31.6)","4 (33.3)","10 (55.6)","79 (59.0)"
"","50-64","8 (42.1)","2 (16.7)","7 (38.9)","32 (23.9)"
"","65+","2 (10.5)","0 (0.0)","0 (0.0)","8 (6.0)"
"Sex","Male","10 (52.6)","11 (91.7)","3 (16.7)","21 (15.7)"
"","Female","8 (42.1)","1 (8.3)","15 (83.3)","113 (84.3)"
"","Transgender","1 (5.3)","0 (0.0)","0 (0.0)","0 (0.0)"
"Ethnicity","Caucasian","4 (21.1)","1 (8.3)","3 (16.7)","0 (0.0)"
"","African American","7 (36.8)","6 (50.0)","0 (0.0)","1 (0.7)"
"","Hispanic/Latino","5 (26.3)","3 (25.0)","13 (72.2)","108 (80.6)"
"","Native American","0 (0.0)","0 (0.0)","0 (0.0)","11 (8.2)"
"","Multiple","2 (10.5)","0 (0.0)","0 (0.0)","9 (6.7)"
"","Other","1 (5.3)","1 (8.3)","2 (11.1)","1 (0.7)"
"","(Missing)","0 (0.0)","1 (8.3)","0 (0.0)","4 (3.0)"
"Insurance","Uninsured","12 (63.2)","12 (100.0)","17 (94.4)","104 (77.6)"
"","Private","0 (0.0)","0 (0.0)","0 (0.0)","2 (1.5)"
"","Medicare","1 (5.3)","0 (0.0)","0 (0.0)","0 (0.0)"
"","Medicaid","3 (15.8)","0 (0.0)","0 (0.0)","0 (0.0)"
"","County/City Health","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.7)"
"","Goldcard","2 (10.5)","0 (0.0)","0 (0.0)","0 (0.0)"
"","Affordable Care Act","0 (0.0)","0 (0.0)","0 (0.0)","1 (0.7)"
"","Molina","1 (5.3)","0 (0.0)","0 (0.0)","0 (0.0)"
"","(Missing)","0 (0.0)","0 (0.0)","1 (5.6)","26 (19.4)"
"Last Eye Exam","Less than 1 year","1 (5.3)","3 (25.0)","1 (5.6)","8 (6.0)"
"","1-2 years","5 (26.3)","3 (25.0)","4 (22.2)","37 (27.6)"
"","3-5 years","5 (26.3)","2 (16.7)","4 (22.2)","34 (25.4)"
"","More than 5 years","8 (42.1)","3 (25.0)","3 (16.7)","24 (17.9)"
"","Never","0 (0.0)","1 (8.3)","5 (27.8)","29 (21.6)"
"","(Missing)","0 (0.0)","0 (0.0)","1 (5.6)","2 (1.5)"
